"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间(UTC)"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.99.217","","","","","-1/-1","","","","","","scan-135.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.92.166","","","","","-1/-1","","","","","","scan-130.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.112.244","","","","","-1/-1","","","","","","scan-105.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.123.111","","","","","-1/-1","","","","","","scan-77.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.84.223","","","","","-1/-1","","","","","","scan-137.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.76.187","","","","","-1/-1","","","","","","scan-112.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.122.237","","","","","-1/-1","","","","","","scan-109.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.67.101","","","","","-1/-1","","","","","","scan-132.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.210.107","","","","","-1/-1","","","","","","scan-121.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.225.204","","","","","-1/-1","","","","","","scan-149.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.208.236","","","","","-1/-1","","","","","","scan-115.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.192.195","","","","","-1/-1","","","","","","scan-147.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.119.24","","","","","-1/-1","","","","","","scan-114.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.119.61","","","","","-1/-1","","","","","","scan-143.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.93.159","","","","","-1/-1","","","","","","scan-142.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.224.72","","","","","-1/-1","","","","","","scan-146.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.123.29","","","","","-1/-1","","","","","","scan-131.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.99.243","","","","","-1/-1","","","","","","scan-42.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.115.221","","","","","-1/-1","","","","","","scan-136.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.196.199","","","","","-1/-1","","","","","","scan-102.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","103.29.69.96","","","","","-1/-1","","","","","","scan-52.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.80.77","","","","","-1/-1","","","","","","scan-141.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.94.253","","","","","-1/-1","","","","","","scan-133.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.229.64","","","","","-1/-1","","","","","","scan-97.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.77.187","","","","","-1/-1","","","","","","scan-139.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.109.88","","","","","-1/-1","","","","","","scan-134.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.224.78","","","","","-1/-1","","","","","","scan-128.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.116.36","","","","","-1/-1","","","","","","scan-138.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.124.229","","","","","-1/-1","","","","","","scan-120.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.116.230","","","","","-1/-1","","","","","","scan-125.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.226.61","","","","","-1/-1","","","","","","scan-111.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.96.196","","","","","-1/-1","","","","","","scan-108.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.113.6","","","","","-1/-1","","","","","","scan-94.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.237.142","","","","","-1/-1","","","","","","scan-145.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.84.112","","","","","-1/-1","","","","","","scan-24.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.76.217","","","","","-1/-1","","","","","","scan-95.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.79.111","","","","","-1/-1","","","","","","scan-17.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.92.168","","","","","-1/-1","","","","","","scan-119.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.75.99","","","","","-1/-1","","","","","","scan-101.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.189.5","","","","","-1/-1","","","","","","scan-58.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.31.7","","","","","-1/-1","","","","","","scan-81.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.75.102","","","","","-1/-1","","","","","","scan-148.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.125.180","","","","","-1/-1","","","","","","scan-124.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.92.209","","","","","-1/-1","","","","","","scan-126.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.218.208","","","","","-1/-1","","","","","","scan-110.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.124.64","","","","","-1/-1","","","","","","scan-127.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.124.90","","","","","-1/-1","","","","","","scan-34.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.218.179","","","","","-1/-1","","","","","","scan-144.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.111.98","","","","","-1/-1","","","","","","scan-63.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.73.19","","","","","-1/-1","","","","","","scan-74.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.121.206","","","","","-1/-1","","","","","","scan-5.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.113.204","","","","","-1/-1","","","","","","scan-68.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","50.116.47.129","","","","","-1/-1","","","","","","scan-82.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.120.104","","","","","-1/-1","","","","","","scan-4.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.106.181","","","","","-1/-1","","","","","","scan-67.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.70.191","","","","","-1/-1","","","","","","scan-122.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.99.58","","","","","-1/-1","","","","","","scan-107.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.65.226","","","","","-1/-1","","","","","","scan-103.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.69.98","","","","","-1/-1","","","","","","scan-93.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.70.53","","","","","-1/-1","","","","","","scan-54.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","45.33.116.193","","","","","-1/-1","","","","","","scan-90.security.ipip.net","2019-11-12T18:58:29Z"
